!Xóõ	[u'ko']
'k	[u'/(\u0259)k/', u'/(\u0259)k/']
afwacht	[u'/\u02c8\u0251f\u028b\u0251\u03c7t/', u'/\u02c8\u0251f\u028b\u0251xt/']
afwachten	[u'/\u02c8\u0251f\u028b\u0251\u03c7t\u0259(n)/', u'/\u02c8\u0251f\u028b\u0251xt\u0259(n)/', u'/\u02c8\u0251fw\u0251xt\u0259(n)/']
afwachtend	[u'/\u0251f\u02c8\u028b\u0251\u03c7t\u0259nt/', u'/\u0251f\u02c8\u028b\u0251xt\u0259nt/']
afwachtte	[u'/\u02c8\u0251f\u028b\u0251\u03c7t\u0259/', u'/\u02c8\u0251f\u028b\u0251xt\u0259/']
afwachtten	[u'/\u02c8\u0251f\u028b\u0251\u03c7t\u0259(n)/', u'/\u02c8\u0251f\u028b\u0251xt\u0259(n)/']
afwassen	[u"/'\u0251f\u028b\u0251s\u0259(n)/", u"/'\u0251f\u03b2\u031e\u0251s\u0259(n)/", u"/'\u0251fw\u0251s\u0259(n)/"]
afweergeschut	[u'/\u0251fwerg\u0259sx\u028ct/']
afweren	[u'/\u0251f\u02c8wer\u0259(n)/']
afwerking	[u'/\u0251fw\u025br\u0259k\u026a\u014b/']
afwijzing	[u"/'\u0251f\u028b\u025b\u026az\u026a\u014b/"]
afwisselen	[u'/\u02c8\u0251f\u028b\u026as\u0259l\u0259(n)/']
afwisseling	[u'/\u02c8\u0251f\u028b\u026as\u0259l\u026a\u014b/']
afzichtelijk	[u"/\u0251f's\u026axt\u0259l\u0259k/"]
afzonderen	[u'/\u02c8\u0251f\u02ccs\u0254nd(\u0259)r\u0259n/']
afzondering	[u'/\u02c8\u0251fs\u0254nd\u0259r\u026a\u014b/']
afzuigen	[u'/\u02c8\u0251f.z\u028c\u028f.\u0263\u0259(n)/']
afzuigkap	[u'/\u02c8\u0251fz\u0153\u028f\u03c7k\u0251p/', u'/\u02c8\u0251fz\u0153\u02d0xk\u0251p/']
agada	[u"/a\u0261a'da/"]
agadisch	[u"/a'\u0261a:dis/"]
agadische	[u"/a'\u0261a:dis\u0259/"]
agadot	[u"/a\u0261a'd\u0254t/"]
agenda	[u'/a.\u02c8\u03c7\u025bn.da/', u'/a.\u02c8\u0263\u025bn.da/', u'/a.\u02c8\u0263\u025bn.da/']
agens	[u"/'a\u0263\u025bns/", u"/'a\u0263\u0259ns/"]
agent	[u"/a'\u0263\u025bnt/"]
agentschap	[u'/a\u0264\u02e1\u025bntsx\u0251p/']
agoena	[u"/a\u0261u'na/"]
agoenot	[u"/a\u0261u'n\u0254t/"]
ah	[u'/a/']
ahava	[u'/aha\u02c8va/']
ahorn	[u'/a.\u02c8h\u0254rn/', u'/a.\u02c8h\u0254rn/']
aingemachts	[u"/'a\u026an\u0261\u0259m\u0251xts/"]
AJC	[u'/ajese/']
ajen	[u"/'\u0251j\u0259n/"]
ajen horre	[u"/'\u0251j\u0259n 'h\u0254r\u0259/"]
ajens	[u"/'\u0251j\u0259ns/"]
ajin	[u"/'\u0251jin/"]
ajin hara	[u"/'\u0251jin ha'ra/"]
ajins	[u"/'\u0251jins/"]
akeda	[u"/ake'da/"]
akedat Jitschak	[u"/ake'd\u0251t jits'x\u0251k/"]
akelig	[u'/ak\u0259l\u0259x/']
aker	[u"/'ak\u0259r/"]
akipruim	[u'/\u02c8a.ki.\u02ccpr\u0153\u028f\u032fm/']
akkefietje	[u"/\u0251k\u0259'fic\u0259/"]
akkerboterbloem	[u'/\u02c8\u0251.k\u0259r.\u02ccbo.t\u0259r.\u02ccblum/']
akoestiek	[u'/\u02ccakus\u02c8tik/']
al	[u'/\u0251l/']
al tenai	[u'/\u0251l t\u0259\u02c8n\u0251j/']
alarm	[u'/al\u0251r\u1e43/']
alarmeren	[u"/\u0251l\u0251r'mer\u0259n/"]
alarmsysteem	[u'/\u0251\u02c8l\u0251rmsi\u02ccstem/', u'/\u0251\u02c8l\u0251rmsi\u02ccstem/']
Albanees	[u'/\u0251\u026bba\u02c8ne\u02d0s/']
Albanië	[u'/\u0251\u026b\u02c8bani.j\u0259/', u'/\u0251l\u02c8ba\u02d0ni.j\u0259/', u'/\u0251l\u02c8ba\u02d0ni.j\u0259/']
Alblas	[u'/\u02c8\u0251lbl\u0251s/']
alef	[u'/\u02c8\u0251l\u025bf/']
alefbeet	[u'/al\u025bv\u02c8bet/']
alefbeis	[u'/al\u025bv\u02c8b\u025bis/']
alefs	[u'/\u02c8al\u025bfs/']
aleichem sjolem	[u"/a'l\u025b\u026ax\u0259m '\u0283ol\u0259m/"]
alert	[u'/a\u02c8l\u025brt/']
alfabet	[u'/\u02c8\u0251lf\u0251b\u025bt/']
alfabetisch	[u"/\u0251lf\u0251'betis/"]
alfabetiseren	[u'/\u0251\u026b.fa.be.ti.\u02c8z\u026a\u02d0.r\u0259(n)/', u'/\u0251l.fa.b\xe6\u02d0.t\u026a.\u02c8ze\u02d0.r\u0259(n)/']
algebra	[u'/\u02c8\u0251\u026b\u0263\u0259bra/']
Algemene bijstandswet	[u'/\u02c8\u0251l\u0263\u0259men\u0259\u02ccb\u025bist\u0251ntsw\u025bt/']
Algerije	[u"/\u0251\u026b.\u03c7\u0259.'r\u025b\u026a\u032f.j\u0259/", u"/\u0251\u026b.\u0263\u0259.'r\u025b\u02d0.j\u0259/", u"/\u0251l.\u0263\u0259.'r\u025b\u026a\u032f.j\u0259/"]
Algiers	[u'/\u0251\u026b\u02c8xi\u02d0rs/', u'/\u0251\u026b\u02c8\u0263i\u02d0rs/']
alia	[u'/ali\u02c8ja/']
alia's	[u'/ali\u02c8jas/']
alias	[u'/ali\u0251s/']
alieë	[u'/a\u02c8lij\u0259/']
alieës	[u'/a\u02c8lij\u0259s/']
aliot	[u'/ali\u02c8j\u0254t/']
alk	[u'/\u0251lk/']
alkalimetaal	[u'/\u02c8\u0251lkalime\u02cctal/']
Alkmaar	[u'/\u0251lk\u02c8mar/']
allatief	[u'/\u02c8\u0251latif/']
alle	[u'/\u02c8\u0251l\u0259/']
alleen	[u'/\u0251l.\u02c8en/']
allel	[u'/\u0251.\u02c8l\u025b\u026b/', u'/\u0251.\u02c8l\u025bl/']
allelen	[u'/\u0251.\u02c8le.l\u0259(n)/']
alleluja	[u"/\u0251le'lyja/, /\u0251le'luja/"]
alleluja's	[u"/\u0251le'lyjas/, /\u0251le'lujas/"]
allergie	[u'/\u02cc\u0251l\u025br\u02c8\u0263i/']
Allerheiligen	[u"/\u0251l\u0259'r(h)\u025bil\u0259g\u0259(n)/"]
allerminst	[u'/\u0251l\u0259r\u02c8m\u026anst/']
Allerzielen	[u'/\u02cc\u0251l\u0259r\u02c8zil\u0259(n)/']
alles	[u'/\u02c8\u0251l\u0259s/']
allicht	[u'/\u0251\u02c8l\u026axt/']
allotropie	[u'/\u02cc\u0251.lo.tro.\u02c8pi/']
almacht	[u'/\u0251\u026bm\u0251xt/']
almemmer	[u'/\u0251l\u02c8m\u025bm\u0259r/']
almemmers	[u'/\u0251l\u02c8m\u025bm\u0259rs/']
almemmor	[u'/\u0251l\u02c8m\u025bm\u0254r/']
almemmors	[u'/\u0251l\u02c8m\u025bm\u0254rs/']
almone	[u'/\u0251l\u02c8mon\u0259/']
almones	[u'/\u0251l\u02c8mon\u0259s/']
alp	[u'/\u0251lp/']
alpaca	[u'/\u0251l\u02c8paka/']
als	[u'/\u0251s/', u'/\u0251\u026bs/', u'/\u0251ls/', u'/\u0251s/', u'/\u0259s/']
alternant	[u'/\u02cc\u0251\u026b.t\u0259r.\u02c8n\u0251nt/', u'/\u02cc\u0251\u026b.t\u0259r.\u02c8n\u0251nt/', u'/\u02cc\u0251l.t\u025br.\u02c8n\u0251nt/']
alternatief	[u'/\u0251lt\u0259rna\u02c8tif/, /\u0251lt\u025brna\u02c8tif/']
alterwetsj	[u'/\u0251lt\u0259r\u02c8w\u025bt\u0283/']
alterwetsje	[u'/\u0251lt\u0259r\u02c8w\u025bt\u0283\u0259/']
altviool	[u'/\u02c8\u0251ltfi\u02ccjo\u02d0l/']
aluminium	[u'/aly\u02c8minij\u028fm/']
alveole	[u'/\u02cc\u0251\u026bve\u02c8ol(\u0259)/']
am haratsim	[u'/\u0251m ha\u02c8r\u0251tsim/']
am haärets	[u'/\u0251m ha\u02c8\u0294ar\u025bts/']
am hoörets	[u'/\u0251m ho\u02c8\u0294or\u025bts/']
am Jisraël chai	[u"/\u0251m jisra'el x\u0251i/"]
amai	[u'/a.\u02c8maj/', u'/a.\u02c8ma:j/']
Amalekiet	[u'/amal\u0259\u02c8kit/']
Amalekieten	[u'/amal\u0259\u02c8kit\u0259(n)/']
amalgaam	[u"/am\u0251l'\u0263a\u02d0m/"]
ambetant	[u'/\u02cc\u0251mb\u0259\u02c8t\u0251nt/']
ambitie	[u'/\u0251m\u02c8bi(t)si/']
Ambt Montfort	[u'/amb.\u02c8mo\u02d0.f\u0259r\xf0/', u'/amb.\u02c8m\u0254nt.f\u0254rt/']
ambtenaar	[u'/\u02c8\u0251mt\u0259nar/']
ambtenares	[u"/\u0251mt\u0259na'r\u025bs/"]
ambtsketen	[u'/\u0251mts\u02c8ket\u0259(n)/']
amechtig	[u'/\u0251\u02c8m\u025bxt\u0259x/']
amee haärets	[u'/a\u02c8me ha\u02c8\u0294ar\u025bts/']
ameen	[u'/a\u02c8men/']
amei hoörets	[u'/a\u02c8m\u025bi ho\u02c8\u0294or\u025bts/']
amen	[u'/am\u0259/']
Amerika	[u'/a\u02c8m\u026a\u02d0ri\u02ccka/']
ammeratsem	[u'/\u0251m\u0259\u02c8r\u0251ts\u0259m/']
Ammoniet	[u'/\u0251mo\u02c8nit/']
Ammonieten	[u'/\u0251mo\u02c8nit\u0259(n)/']
Ammonitische	[u'/\u0251mo\u02c8nitis\u0259/']
amoebe	[u'/\u0251\u02c8m\xf8b\u0259/']
amoed	[u'/a\u02c8mut/']
amoediem	[u'/amu\u02c8dim/']
Amoniet	[u'/amo\u02c8nit/']
Amonieten	[u'/amo\u02c8nit\u0259(n)/']
Amonitische	[u'/amo\u02c8nitis\u0259/']
amoraïtisch	[u'/amora\u02c8\u0294itis/']
amoraïtische	[u'/amora\u02c8\u0294itis\u0259/']
amorets	[u'/a\u02c8mor\u025bts/']
amorf	[u"/a.'m\u0254rf/"]
Amoriet	[u'/amo\u02c8rit/']
Amorieten	[u'/amo\u02c8rit\u0259(n)/']
ampel	[u'/\u02c8\u0251mp\u0259\u026b/']
amratsem	[u'/am\u02c8r\u0251ts\u0259m/']
amratses	[u'/am\u02c8r\u0251ts\u0259s/']
Amsterdam	[u"/\u0251mst\u0259r'd\u0251m/"]
amsterdammertje	[u"/\u0251mst\u0259r'd\u0251m\u0259rtj\u0259/"]
amusant	[u"/\u0251my'z\u0251nt/"]
Anakiet	[u'/ana\u02c8kit/']
Anakieten	[u'/ana\u02c8kit\u0259(n)/']
analyse	[u"/\u0251n\u0250'li\u02d0z\u0259/"]
anasjiem	[u'/an\u0251\u02c8\u0283im/']
anava	[u'/ana\u02c8va/']
andermaal	[u"/'\u0251nd\u0259rmal/"]
andermans	[u"/'\u0251nd\u0259rm\u0251ns/"]
anders	[u'/\u02c8\u0251nd\u0259rs/']
anekdote	[u'/a.n\u025bg.\u02c8do.t\u0259/']
anemoon	[u'/\u0251n\u0259mon/']
angejiddeld	[u'/\u02c8\u0251\u014bg\u0259j\u026ad\u0259lt/']
Angelsaksisch	[u"/\u0251\u014b\u0259l's\u0251ksis/"]
angioneuroticum	[u'/\u02cc\u0251\u014b\u0263ion\xf8\u02c8rotik\u0275m/']
Angola	[u'/\u0251\u014b.\u02c8go.la/', u'/\u0251\u014b.\u02c8go.la/', u'/\u0251\u014b.\u02c8(g)\u0263o.la/']
Angolar	[u'/ango\u02c8la\u02d0r/']
angst	[u'/\u0251\u014bst/']
anhedonie	[u'/\u02cc\u0251n.\u0266e.do\u02c8ni/', u'/\u02cc\u0251n.\u0266e.do\u02c8ni/']
anieëm	[u'/a\u02c8nij\u0259m/']
aninoet	[u'/ani\u02c8nut/']
anioet	[u'/ani\u02c8jut/']
anionisch	[u'/\u02cc\u0251ni\u02c8onis/']
Anjerrevolutie	[u'/\u02c8\u0251.\u0272\u0259r.re.vo\u02ccly.tsi/', u'/\u02c8\u0251.n\u02b2\u0259r.re.vo\u02ccly.si/']
annexatie	[u'/\u02cc\u0251n\u025bk\u02c8satsi/']
annexeer	[u'/\u02cc\u0251n\u025bk\u02c8s\u026a\u02d0r/']
annexeerde	[u'/\u02cc\u0251n\u025bk\u02c8s\u026a\u02d0rd\u0259/']
annexeerden	[u'/\u02cc\u0251n\u025bk\u02c8s\u026a\u02d0rd\u0259(n)/']
annexeert	[u'/\u02cc\u0251n\u025bk\u02c8s\u026a\u02d0rt/']
annexere	[u'/\u02cc\u0251n\u025bk\u02c8s\u026a\u02d0r\u0259/']
annexeren	[u'/\u02cc\u0251n\u025bk\u02c8s\u026a\u02d0r\u0259(n)/']
annexerend	[u'/\u02cc\u0251n\u025bk\u02c8s\u026a\u02d0r\u0259nt/']
annuleren	[u"/\u0251ny'ler\u0259/"]
ansjee Knesset Hagedola	[u"/\u0251n'\u0283e 'kn\u025bs\u025bt ha\u0261\u0259do'la/"]
antiacidum	[u"/\u02cc\u0251nti'jasid\u0275m", u"/\u02cc\u0251nti'\u0294asid\u0275m/"]
antidepressivum	[u'/\u02cc\u0251ntidepr\u025b\u02c8siv\u028fm/']
Antigua en Barbuda	[u'/\u0251n.\u02ccti.gwa.\u025bn.b\u0251r.\u02c8bu.da/', u'/\u0251n.\u02ccti.gwa.\u025bn.b\u0251r.\u02c8bu.da/', u'/\u0251n.\u02ccti.(g)\u0263']
antilope	[u"/\u0251nti'lop\u0259/"]
antisemitisch	[u'/\u02cc\u0251ntis\u0259\u02c8mitis/']
antislipcursus	[u'/\u02cc\u0251nti\u02c8sl\u026ap\u02cck\u028frs\u028fs/']
antiviraal	[u'/\u02cc\u0251ntivi\u02c8ra\u026b/']
antoniem	[u'/\u0251nto\u02c8n']
antraciet	[u'/\u0251n.tra.\u02c8sit/', u'/an.tra.\u02c8sit/']
Antwerpen	[u'/\u02c8\u0251nt\u02cc\u028b\u025brp\u0259(n)/', u'/\u02c8\u0251nt\u02cc\u03b2\u031e\u025brp\u0259(n)/', u'/\u02c8ant\u02ccw\u025brp\u0259(n)/']
Antwerps	[u'/\u02c8\u0251nt\u028b\u025brps/', u'/\u02c8\u0251nt\u03b2\u031e\u025brps/', u'/\u02c8antw\u025brps/']
Antwerpse	[u'/\u02c8\u0251nt.\u028b\u025brp.s\u0259/', u'/\u02c8\u0251nt.\u03b2\u031e\u025brp.s\u0259/', u'/\u02c8ant.w\u025brp.s\u0259/']
antwoord	[u'/\u02c8\u0251nt.\u028b\u0254\u02d0rt/']
antwoorden	[u'/\u02c8\u0251nt.\u028b\u0254\u02d0r.d\u0259(n)/']
aorta	[u'/a\u02c8\u0254rta/']
apanage	[u'/ap\u0251\u02c8na\u0292\u0259/']
apanages	[u'/ap\u0251\u02c8na\u0292\u0259s/']
apen	[u'/\u02c8ap\u0259(n)/']
apenstaartje	[u'/\u02c8ap\u0259\u02ccstart\u0283\u0259/']
apicomplexa	[u'/\u02ccapik\u0254m\u02c8pl\u025bksa/']
apostel	[u'/\u0251\u02c8p\u0254st\u0259l/']
apotheek	[u"/apo'tek/"]
appel	[u'/\u02c8\u0251.p\u0259\u026b/', u'/\u02c8\u0251.p\u0259l/']
appelbol	[u'/\u02c8\u0251.p\u0254\u026b.\u02ccb\u0254\u026b/', u'/\u02c8\u0251.p\u0259\u026b.\u02ccb\u0254\u026b/', u'/\u02c8\u0251.p\u0259\u026b.\u02ccb\u0254\u026b/', u'/\u02c8\u0251.p\u0259l.\u02ccb\u0254l/']
appelbollen	[u'/\u02c8\u0251.p\u0254\u026b.\u02ccb\u0254.l\u0259(n)/', u'/\u02c8\u0251.p\u0259\u026b.\u02ccb\u0254.l\u0259(n)/', u'/\u02c8\u0251.p\u0259\u026b.\u02ccb\u0254.l\u0259(n)/', u'/\u02c8\u0251.p\u0259l.\u02ccb\u0254.l\u0259(n)/']
appelbolletje	[u'/\u02c8\u0251.p\u0254\u026b.\u02ccb\u0254.l\u0259.tj\u0259/', u'/\u02c8\u0251.p\u0259\u026b.\u02ccb\u0254.l\u0259.tj\u0259/', u'/\u02c8\u0251.p\u0259\u026b.\u02ccb\u0254.l\u0259.tj\u0259/', u'/\u02c8\u0251.p\u0259l.\u02ccb\u0254.l\u0259.tj\u0259/']
appelbolletjes	[u'/\u02c8\u0251.p\u0254\u026b.\u02ccb\u0254.l\u0259.tj\u0259s/', u'/\u02c8\u0251.p\u0259\u026b.\u02ccb\u0254.l\u0259.tj\u0259s/', u'/\u02c8\u0251.p\u0259\u026b.\u02ccb\u0254.l\u0259.tj\u0259s/', u'/\u02c8\u0251.p\u0259l.\u02ccb\u0254.l\u0259.tj\u0259s/']
appelflap	[u'/\u02c8\u0251p\u0259\u026bfl\u0251p/']
appelsap	[u'/\u02c8\u0251p\u0259l\u02ccs\u0251p/']
appelsien	[u'/\u02cc\u0251p\u0259l\u02c8sin/']
appendix	[u'/\u0251\u02c8p\u025bnd\u026aks/']
appetijtelijk	[u"[\u0251p\u0259't\u025bit\u0259l\u0259k]"]
appikorsem	[u'/\u0251pi\u02c8k\u0254rs\u0259m/']
appikoures	[u'/\u0251pi\u02c8k\u0251ur\u0259s/']
applaudisseren	[u"/\u0251pl\u0254udi'ser\u0259/"]
applaus	[u"/\u0251'pl\u0254us/"]
april	[u'/\u0251\u02c8pr\u026al/']
apsis	[u'/\u0251ps\u026as/']
aquarist	[u'/\u02cca.k\u028ba.\u02c8r\u026ast/']
aquarium	[u'/\u0251\u02c8k\u028bari\u02cc\u02b2\u028fm/']
ar	[u'/\u0251r/']
Arabier	[u'/\u02cc\u0251.ra.\u02c8bi\u02d0r/']
Arabisch	[u"/\u0251'rabis/"]
arajot	[u'/ara\u02c8j\u0254t/']
Aramees	[u'/ara\u02c8mes/']
Arameeër	[u'/ara\u02c8mej\u0259r/']
Arameeërs	[u'/ara\u02c8mej\u0259rs/']
Aramese	[u'/ara\u02c8mes\u0259/']
arava	[u'/ara\u02c8va/']
araviem	[u'/ara\u02c8vim/']
aravot	[u'/ara\u02c8v\u0254t/']
arba kanfot	[u'/\u0251r\u02c8ba k\u0251\u0271\u02c8f\u0254t/']
arba kosot	[u'/\u0251r\u02c8ba ko\u02c8s\u0254t/']
arbang kanfous	[u'/\u02c8\u0251rb\u0251\u014b \u02c8k\u0251\u0271f\u0251us/']
arbaä miniem	[u'/\u0251rba\u02c8\u0294a mi\u02c8nim/']
arbe kanfes	[u'/\u02c8\u0251rb\u0259 \u02c8k\u0251\u0271f\u0259s/']
arbe kouses	[u'/\u02c8\u0251rb\u0259 \u02c8k\u0251us\u0259s/']
arbeide	[u'/\u0251\u027e\u02c8b\xe6jd\u0259/']
archaea	[u'/\u0251r\u02c8xe\u0251/']
archeologie	[u'/\u02cc\u0251r.\u03c7e.\u02ccjo.lo.\u02c8\u03c7i/', u'/\u02cc\u0251r.xe.\u02ccjo.lo.\u02c8\u0263i/', u'/\u02cc\u0251r.x\u025b.jo.lo.\u02c8\u0263i/']
archivaris	[u'/\u0251rxiva\u02d0r\u0268s/']
areel	[u'/a\u02c8rel/']
areilem	[u'/a\u02c8r\u025bil\u0259m/']
areliem	[u'/are\u02c8lim/']
Argentijn	[u'/\u02cc\u0251r\u03c7\u025bn\u02c8t\u025b\u026a\u032fn/', u'/\u02cc\u0251r\u03c7\u025bn\u02c8t\xe6\u026a\u032fn/', u'/\u02cc\u0251r\u0263\u025bn\u02c8t\u025b\u02d0n/', u'/\u02cc\u0251r\u0263\u025bn\u02c8t\u025b\u026a\u032fn/']
Argentijns	[u'/\u02cc\u0251r\u03c7\u025bn\u02c8t\u025b\u026a\u032fns/', u'/\u02cc\u0251r\u03c7\u025bn\u02c8t\xe6\u026a\u032fns/', u'/\u02cc\u0251r\u0263\u025bn\u02c8t\u025b\u02d0ns/', u'/\u02cc\u0251r\u0263\u025bn\u02c8t\u025b\u026a\u032fns/']
Argentinië	[u'/\u02cc\u0251r\u03c7\u025bn\u02c8tini.j\u0259/', u'/\u02cc\u0251r\u0263\u025bn\u02c8tini.j\u0259/']
argument	[u'/\u02cc\u0251r\u0263y\u02c8m\u025bnt/']
ark	[u'/\u0251rk/']
arm	[u'/\u0251r\u1e43/']
Armeen	[u'/\u0251r\u02c8men/', u'/\u0251r\u02c8me\u026a\u032fn/', u'/\u0251r\u02c8me\u02d0n/']
Armeens	[u'/\u0251r\u02c8mens/', u'/\u0251r\u02c8me\u026a\u032fns/', u'/\u0251r\u02c8me\u02d0ns/']
Armeense	[u'/\u0251r\u02c8mens\u0259/', u'/\u0251r\u02c8me\u026a\u032fns\u0259/', u'/\u0251r\u02c8me\u02d0ns\u0259/']
Armenië	[u'/\u0251r\u02c8meni.j\u0259/', u'/\u0251r\u02c8me\u026a\u032fni.j\u0259/', u'/\u0251r\u02c8me\u02d0ni.j\u0259/']
Armeniër	[u'/\u0251r\u02c8meni.j\u0259r/', u'/\u0251r\u02c8me\u026a\u032fni.j\u0259r/', u'/\u0251r\u02c8me\u02d0ni.j\u0259r/']
armoede	[u'/\u02c8\u0251r\u0259mude/']
Aroemeens	[u'/aru\u02c8mens/']
aroma	[u"/a'roma/"]
Aromaans	[u'/aro\u02c8mans/']
aron	[u'/a\u02c8r\u0254n/']
aron hakodesj	[u'/a\u02c8r\u0254n ha\u02c8kod\u025b\u0283/']
aronot	[u'/aro\u02c8n\u0254t/']
aronot hakodesj	[u'/aro\u02c8n\u0254t ha\u02c8kod\u025b\u0283/']
aronskelk	[u'/ar\u0254nsk\u025bl\u0259k/']
Arpitaans	[u'/\u0251rpi\u02c8ta\u02d0ns/']
arriveer	[u'/\u0251rive\u02d0r/']
arriveren	[u'/\u0251rive\u02d0r\u0259n/']
arrowroot	[u'/\u02c8\u025br\u0254wru:t/']
artikel	[u'/\u0251r\u02c8ti\u02d0k\u0259l/']
Aruba	[u'/a.\u02c8ru.ba/', u'/a.\u02c8ry.ba/']
arviet	[u'/\u0251r\u02c8vit/']
as	[u'/\u0251s/']
As-groot	[u"/(\u0294)\u0251s'xrot/"]
as-klein	[u"/(\u0294)\u0251s'kl\u025b\u026an/"]
As-majeur	[u"/(\u0294)\u0251s'xrot/"]
as-mineur	[u"/(\u0294)\u0251s'kl\u025b\u026an/"]
Asara Betevet	[u"/\u0251s\u0251'ra b\u0259't\u025bv\u025bt/, /\u0251s\u0251'ra b\u0259te'vet/"]
aseret hadibrot	[u"/a's\u025br\u025bt hadi'br\u0254t/"]
aseret jemee tesjoeva	[u"/a's\u025br\u025bt j\u0259'me t\u0259\u0283u'va/"]
asjeweine	[u'/\u0251\u0283\u0259\u02c8w\u025bin\u0259/']
Asjkeloniet	[u"/\u0251\u0283k\u0259lo'nit/"]
Asjkelonieten	[u'/\u0251\u0283k\u0259lo\u02c8nit\u0259(n)/']
Asjkenazi	[u"/\u0251\u0283k\u0259'nazi/", u"/\u0251\u0283k\u0259na'zi/"]
Asjkenazi's	[u"/\u0251\u0283k\u0259'nazis/"]
Asjkenaziem	[u"/\u0251\u0283k\u0259na'zim/"]
Asjkenazim	[u"/\u0251\u0283k\u0259'nazim/"]
Asjkenazisch	[u"/\u0251\u0283k\u0259'nazis/"]
Asjkenazische	[u"/\u0251\u0283k\u0259'nazis\u0259/"]
asjmedai	[u'/\u02c8\u0251\u0283m\u0259d\u0251j/']
Asjteratiet	[u"/\u0251\u0283t\u0259ra'ti/"]
Asjteratieten	[u'/\u0251\u0283t\u0259ra\u02c8tit\u0259(n)/']
Askeloniet	[u'/\u0251sk\u0259lo\u02c8nit/']
Askelonieten	[u'/\u0251sk\u0259lo\u02c8nit\u0259(n)/']
aspect	[u'/\u0251s\u02c8p\u025bkt/']
aspiratie	[u'/\u02cc\u0251spi\u02c8ra\u02a6i/']
Asse	[u'/\u02c8\u0251s\u0259/']
assen	[u'/\u02c8\u0251s\u0259n/', u'/\u02c8\u0251s\u0259/']
Assen	[u'/\u02c8\u0251s\u0259n/', u'/\u02c8\u0251s\u0259/']
Assenaar	[u'/\u02c8\u0251s\u0259nar/']
Assenaars	[u'/\u02c8\u0251s\u0259nars/']
Assenaren	[u'/\u02c8\u0251s\u0259nar\u0259n/', u'/\u02c8\u0251s\u0259nar\u0259/']
Assens	[u'/\u02c8\u0251s\u0259ns/']
Assepoester	[u'/\u02c8\u0251s\u0259\u02ccpust\u0259r/']
assertief	[u'/\u0251s\u025br\u02c8tif/']
Asses	[u'/\u02c8\u0251s\u0259s/']
Assese	[u'/\u02c8\u0251s\u0259s\u0259/']
assisteren	[u'/\u02cc\u0251s\u026as\u02c8te\u02d0r\u0259(n)/']
assorteren	[u"/\u0251s\u0254r'ter\u0259/"]
Asteratiet	[u'/\u0251st\u0259ra\u02c8tit/']
Asteratieten	[u'/\u0251st\u0259ra\u02c8tit\u0259(n)/']
asterisk	[u'/\u02c8\u0251s.t\u0259.\u02ccr\u026ask/', u'/\u02c8\u0251s.t\u0259.\u02ccr\u026ask/', u'/\u02c8\u0251s.t\u0259.\u02ccr\u026as(x)/', u'/\u02cc\u0251s.t\u0259.\u02c8r\u026as(x)/']
astma	[u'/\u02c8\u0251s(t)ma/']
astrologie	[u"/\u0251strolo'gi/"]
astronaut	[u'/\u02cc\u0251stro\u02c8n\u028c\u028a\u032ft/', u'/\u02cc\u0251stro\u02c8n\u0254\u028a\u032ft/', u'/\u02cc\u0251stro\u02c8na\u028a\u032ft/']
asymptoot	[u'/a.s\u026amp.\u02c8tot/', u'/a.s\u026amp.\u02c8tot/']
at	[u'/\u0251t/']
ataxie	[u'/at\u0251k\u02c8si/']
aten	[u'/\u02c8at\u0259(n)/']
atheïst	[u'/\u02cca.te.\u02c8j\u026ast/', u'/\u02cc\u0251.te.\u02c8j\u026ast/', u'/\u02cc\u0251.te.\u02c8j\u026ast/', u'/\u02cca.te.\u02c8j\u026ast/']
atied	[u'/a\u02c8tit/']
Atjehs	[u'/\u02c8\u0251tjes/']
Atjehse	[u'/\u02c8\u0251tjes\u0259/']
Atlantis	[u'/\u0251t\u02c8l\u0251nt\u026as/']
atlas	[u'/\u0251tl\u0251s/']
Atlas	[u'/\u0251tl\u0251s/']
atnach	[u'/\u0251t\u02c8n\u0251x/']
atnachta	[u'/atn\u0251x\u02c8ta/']
atsee chajiem	[u'/\u0251t\u02c8se xa\u02c8jim/']
Atseret	[u"/\u0251'ts\u025br\u025bt/"]
atsmaoet	[u'/\u0251tsma\u02c8\u0294ut/']
attelemiese	[u'/\u0251t\u0259l\u0259\u02c8mis\u0259/']
atten	[u'/\u0251t\u0259(n)/']
atto-	[u'/\u02c8\u0251to/']
attributief	[u'/\u0251tr\u026ab\u028f\u02c8tif/']
aubergine	[u'/ob\u025br\u02c8\u0292in\u0259/']
augiasstal	[u'/\u02c8\u0254\u028f\u0263i\u02b2\u0251\u02ccst\u0251\u026b/']
augurk	[u'/\u028cu\u02c8\u0263\u0275rk/', u'/\u028c\u02c8\u029d\u028frk/']
augustus	[u'/\u028c\u028a\u032f.\u02c8\u03c7\u028fs.t\u0259s/', u'/\u0254\u028a\u032f.\u02c8\u0263\u028fs.t\u0259s/', u'/a\u028a\u032f.\u02c8\u0263\u028fs.t\u028fs/']
aula	[u'/\u02e1\u0251ula/']
aura	[u'/\u02c8\u028cur\u0251/', u'/\u02c8\u028cr\u0251/']
