!Xóõ	[u'ko']
'k	[u'/(\u0259)k/', u'/(\u0259)k/']
afgelasten	[u"/'\u0251fx\u0259\u02ccl\u0251st\u0259(n)/"]
afgelegen	[u'/\u0251fx\u0259leg\u0259/']
afgepeigerd	[u'/\u02c8\u0251fx\u0259\u02ccp\u025bi\u0263\u0259rt/']
afgesloten	[u"/'\u0251f.x\u0259.slo.t\u0259(n)/"]
afgeven	[u'/\u02c8\u0251f\u0263ev\u0259(n)/']
afgewacht	[u'/\u02c8\u0251f\u03c7\u0259\u02cc\u028b\u0251\u03c7t/', u'/\u02c8\u0251f\u0263\u0259\u02cc\u028b\u0251xt/']
Afghaan	[u'/\u0251f.\u02c8\u03c7an/', u'/\u0251f.\u02c8xan/']
Afghaans	[u'/\u0251f.\u02c8\u03c7ans/', u'/\u0251f.\u02c8xans/', u'/\u0251v.\u02c8\u0263a\u02d0ns/']
Afghaanse	[u'/\u0251f.\u02c8\u03c7an.s\u0259/', u'/\u0251f.\u02c8xan.s\u0259/']
Afghanistan	[u'/\u0251f.\u02c8\u03c7a.n\u026a.\u02ccst\u0251n/', u'/\u0251f.\u02c8\u0263a.n\u026a.\u02ccst\u0251n/', u'/\u0251v.\u02c8\u0263a.n\u026a.\u02ccst\u0251n/']
afgod	[u"/'\u0251fx\u0254t/", u"/'\u0251fxod\u0259(n)/"]
afgoderij	[u"/\u0251fxod\u0259'r\u025bi/"]
afgrond	[u'/\u02c8\u0251f\u03c7r\u0254nt/', u'/\u02c8\u0251fxr\u0254nt/', u'/\u02c8\u0251v\u0263r\u0254nd/']
afgunst	[u'/\u02c8\u0251fx\u0275nst/', u'/\u02c8\u0251f\xe7\u028fnst/']
afhalen	[u'/\u02c8\u0251fhal\u0259(n)/']
afikoman	[u'/afiko\u02c8m\u0251n/']
afikomans	[u'/afiko\u02c8m\u0251ns/']
afikomen	[u'/afi\u02c8kom\u0259(n)/']
afikomens	[u'/afi\u02c8kom\u0259ns/']
afikoumon	[u'/afi\u02c8k\u0251um\u0254n/']
afkeurenswaardig	[u'/\u02cc\u0251fk\xf8r\u0259ns\u02c8\u028bard\u0259x/']
afkoelen	[u"/'\u0294\u0251fkul\u0259n/"]
afkorting	[u'/\u0251fk\u0254rt\u026a\u014b/']
